title,link,authors,year
"Time and frequency domain connectedness and spill-over among fintech, green bonds and cryptocurrencies in the age of the fourth industrial revolution",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:L8Ckcad2t8MC,"(1) TNL Le, EJA Abakah, A KumarTiwari",2021
Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=-X1U0zEAAAAJ&pagesize=100&citation_for_view=-X1U0zEAAAAJ:ye4kPcJQO24C,"(1) C Collaborative, GS Collaborative.",2021
Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=YpC6SzkAAAAJ&pagesize=100&citation_for_view=YpC6SzkAAAAJ:eQOLeE2rZwMC,(1) C Collaborative.,2021
Timing of surgery following SARS- CoV-2 infection: an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=7RmBKWEAAAAJ&pagesize=100&citation_for_view=7RmBKWEAAAAJ:2osOgNQ5qMEC,(1) C Collaborative,2021
"Mapping 123 million neonatal, infant and child deaths between 2000 and 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=AZNLuScAAAAJ&pagesize=100&citation_for_view=AZNLuScAAAAJ:NMxIlDl6LWMC,"(1) R Burstein, NJ Henry, ML Collison, LB Marczak, A Sligar, S Watson, ...",2019
Google Classroom for mobile learning in higher education: Modelling the initial perceptions of students,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=88EPn7cAAAAJ&pagesize=100&citation_for_view=88EPn7cAAAAJ:-FonjvnnhkoC,"(1) JA Kumar, B Bervell",2019
"Dynamic spillover effects among green bond, renewable energy stocks and carbon markets during COVID-19 pandemic: Implications for hedging and investments strategies",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:yD5IFk8b50cC,"(1) AK Tiwari, EJA Abakah, D Gabauer, RA Dwumfour",2022
Policies to reduce single-use plastic marine pollution in West Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:ULOm3_A8WrAC,"(1) I Adam, TR Walker, JC Bezerra, A Clayton",2020
"Global Environment Outlook Geo-6 Healthy Planet, Healthy People",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=1RmZz2YAAAAJ&pagesize=100&citation_for_view=1RmZz2YAAAAJ:kzcrU_BdoSEC,(1) H PLANET,2019
Exploring the socio-economic impact of COVID-19 pandemic in marketplaces in urban Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lFWl4kwAAAAJ&pagesize=100&citation_for_view=lFWl4kwAAAAJ:Tyk-4Ss8FVUC,"(1) LA Asante, RO Mills",2020
"Diseases, injuries, and risk factors in child and adolescent health, 1990 to 2017: findings from the global burden of diseases, injuries, and risk factors 2017 study",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:KxtntwgDAa4C,"(1) RC Reiner, HE Olsen, CT Ikeda, MM Echko, KE Ballestreros, ...",2019
Multifaceted applicability of drones: A review,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=wKxG-uAAAAAJ&pagesize=100&citation_for_view=wKxG-uAAAAAJ:YOwf2qJgpHMC,"(1) M Ayamga, S Akaba, AA Nyaaba",2021
Credit risk and operational risk on financial performance of universal banks in Ghana: A partial least squared structural equation model (PLS SEM) approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5xspOs8AAAAJ&pagesize=100&citation_for_view=5xspOs8AAAAJ:aqlVkmm33-oC,"(1) SG Gadzo, HK Kportorgbi, JG Gatsi",2019
International impact of COVID-19 on the diagnosis of heart disease,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=PjXZrAsAAAAJ&pagesize=100&citation_for_view=PjXZrAsAAAAJ:3fE2CSJIrl8C,"(1) AJ Einstein, LJ Shaw, C Hirschfeld, MC Williams, TC Villines, N Better, ...",2021
The impact of COVID-19 on stock market performance in Africa: A Bayesian structural time series approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=GB7TBgkAAAAJ&pagesize=100&citation_for_view=GB7TBgkAAAAJ:Se3iqnhoufwC,"(1) PO Takyi, I Bentum-Ennin",2021
Analysis of the determinants of foreign direct investment in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5picmrwAAAAJ&pagesize=100&citation_for_view=5picmrwAAAAJ:u5HHmVD_uO8C,"(1) JA M Asiamah, D Ofori",2019
Google classroom: insights from Malaysian higher education students’ and instructors’ experiences,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=88EPn7cAAAAJ&pagesize=100&citation_for_view=88EPn7cAAAAJ:ruyezt5ZtCIC,"(1) JA Kumar, B Bervell, S Osman",2020
Predictive factors of physicians’ satisfaction with telemedicine services acceptance,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=OQeYX20AAAAJ&pagesize=100&citation_for_view=OQeYX20AAAAJ:u-x6o8ySG0sC,"(1) J Kissi, B Dai, CSK Dogbe, J Banahene, O Ernest",2020
Computational/in silico methods in drug target and lead prediction,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Fb4M2FoAAAAJ&pagesize=100&citation_for_view=Fb4M2FoAAAAJ:ULOm3_A8WrAC,"(1) FE Agamah, GK Mazandu, R Hassan, CD Bope, NE Thomford, ...",2020
"Quantile time–frequency price connectedness between green bond, green equity, sustainable investments and clean energy markets",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:l7t_Zn2s7bgC,"(1) I Chatziantoniou, EJA Abakah, D Gabauer, AK Tiwari",2022
Liquid biopsy in ovarian cancer using circulating tumor DNA and cells: Ready for prime time?,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mbD0BCEAAAAJ&pagesize=100&citation_for_view=mbD0BCEAAAAJ:KlAtU1dfN6UC,"(1) DB Asante, L Calapre, M Ziman, TM Meniawy, ES Gray",2020
Central role of oxidative stress in age-related macular degeneration: evidence from a review of the molecular mechanisms and animal models,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=a_Z1HqgAAAAJ&pagesize=100&citation_for_view=a_Z1HqgAAAAJ:_kc_bZDykSQC,"(1) S Abokyi, CH To, TT Lam, DY Tse",2020
Rising above misinformation or fake news in Africa: Another strategy to control COVID-19 spread,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JkmLukkAAAAJ&pagesize=100&citation_for_view=JkmLukkAAAAJ:M3ejUd6NZC8C,"(1) BO Ahinkorah, EK Ameyaw, JE Hagan Jr, AA Seidu, T Schack",2020
"Examining the link among green human resource management practices, green supply chain management practices and performance",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=TIfpcPAAAAAJ&pagesize=100&citation_for_view=TIfpcPAAAAAJ:W7OEmFMy1HYC,"(1) ISK Acquah, Y Agyabeng-Mensah, E Afum",2020
"Exploring the link between green manufacturing, operational competitiveness, firm reputation and sustainable performance dimensions: a mediated approach",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=TIfpcPAAAAAJ&pagesize=100&citation_for_view=TIfpcPAAAAAJ:IjCSPb-OGe4C,"(1) E Afum, Y Agyabeng-Mensah, Z Sun, B Frimpong, LY Kusi, ISK Acquah",2020
SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=sV_RHK4AAAAJ&pagesize=100&citation_for_view=sV_RHK4AAAAJ:eQOLeE2rZwMC,"(1) D Nepogodiev, J Simoes, E Li, M Picciochi, JC Glasbey, ...",2021
SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=T_jB4WIAAAAJ&pagesize=100&citation_for_view=T_jB4WIAAAAJ:LkGwnXOMwfcC,(1) CC al,2021
"LMS-Enabled blended learning utilization in distance tertiary education: establishing the relationships among facilitating conditions, voluntariness of use and use behaviour",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=88EPn7cAAAAJ&pagesize=100&citation_for_view=88EPn7cAAAAJ:q3CdL3IzO_QC,"(1) B Bervell, V Arkorful",2020
Quantile risk spillovers between energy and agricultural commodity markets: Evidence from pre and during COVID-19 outbreak,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:eJXPG6dFmWUC,"(1) AK Tiwari, EJA Abakah, AO Adewuyi, CC Lee",2022
"Towards a bottom-up understanding of antimicrobial use and resistance on the farm: A knowledge, attitudes, and practices survey across livestock systems in five African countries",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=RufNfRwAAAAJ&pagesize=100&citation_for_view=RufNfRwAAAAJ:roLk4NBRz8UC,"(1) MA Caudell, A Dorado-Garcia, S Eckford, C Creese, DK Byarugaba, ...",2020
"LMS-enabled blended learning utilization in distance tertiary education: establishing the relationships among facilitating conditions, voluntariness of use and use behaviour",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ay1XHOkAAAAJ&pagesize=100&citation_for_view=ay1XHOkAAAAJ:MXK_kJrjxJIC,"(1) B Bervell, V Arkorful",2020
The conundrum of low COVID-19 mortality burden in sub-Saharan Africa: myth or reality?,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=AZNLuScAAAAJ&pagesize=100&citation_for_view=AZNLuScAAAAJ:3s1wT3WcHBgC,"(1) J Adams, MJ MacKenzie, AK Amegah, A Ezeh, MA Gadanya, ...",2021
"Distribution of quinolone resistance gene (qnr) in ESBL-producing Escherichia coli and Klebsiella spp. in Lomé, Togo",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=cgs34hUAAAAJ&pagesize=100&citation_for_view=cgs34hUAAAAJ:bEWYMUwI8FkC,"(1) FD Salah, ST Soubeiga, AK Ouattara, AY Sadji, A Metuor-Dabire, ...",2019
Biocultural approaches to pollinator conservation,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=yMd_X5MAAAAJ&pagesize=100&citation_for_view=yMd_X5MAAAAJ:JV2RwH3_ST0C,"(1) R Hill, G Nates-Parra, JJG Quezada-Euán, D Buchori, G LeBuhn, ...",2019
COVID‐19 and food prices in sub‐Saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=uoshTu4AAAAJ&pagesize=100&citation_for_view=uoshTu4AAAAJ:kNdYIx-mwKoC,"(4) SK Agyei, Z Isshaq, S Frimpong, AM Adam, A Bossman, O Asiamah",2021
"Global burden of disease cancer collaboration. global, regional, and national cancer incidence, mortality, years of life lost, years lived with disability, and disability …",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:p2g8aNsByqUC,"(1) C Fitzmaurice, D Abate, N Abbasi",2020
Innovative and rapid analysis for rice authenticity using hand-held NIR spectrometry and chemometrics,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=e7uxEsEAAAAJ&pagesize=100&citation_for_view=e7uxEsEAAAAJ:WF5omc3nYNoC,"(2) E Teye, CLY Amuah, T McGrath, C Elliott",2019
Effect of owner-manager’s financial literacy on the performance of SMEs in the Cape Coast Metropolis in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=leaTb1UAAAAJ&pagesize=100&citation_for_view=leaTb1UAAAAJ:YlPif8NxrbYC,(1) ABA Daniel Agyapong,2019
Optimal control and comprehensive cost-effectiveness analysis for COVID-19,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=qFNHorgAAAAJ&pagesize=100&citation_for_view=qFNHorgAAAAJ:qxL8FJ1GzNcC,"(1) JKK Asamoah, E Okyere, A Abidemi, SE Moore, GQ Sun, Z Jin, ...",2022
SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=83a3zgkAAAAJ&pagesize=100&citation_for_view=83a3zgkAAAAJ:e5wmG9Sq2KIC,"(1) COVIDSurg Collaborative, GlobalSurg Collaborative",2021
"Effect of information sharing in supply chains: understanding the roles of supply chain visibility, agility, collaboration on supply chain performance",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5picmrwAAAAJ&pagesize=100&citation_for_view=5picmrwAAAAJ:_FxGoFyzp5QC,"(3) C Baah, DO Agyeman, ISK Acquah, Y Agyabeng-Mensah, E Afum, ...",2021
"Mapping geographical inequalities in childhood diarrhoeal morbidity and mortality in low-income and middle-income countries, 2000–17: analysis for the Global Burden of Disease …",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:vRqMK49ujn8C,"(1) RC Reiner, KE Wiens, A Deshpande, MM Baumann, PA Lindstedt, ...",2020
"Trade openness, FDI and economic growth in sub-Saharan Africa: do institutions matter?",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=NDIo7NUAAAAJ&pagesize=100&citation_for_view=NDIo7NUAAAAJ:4fKUyHm3Qg0C,"(1) LA Asamoah, EK Mensah, EA Bondzie",2019
A review on coastal erosion and flooding risks and best management practices in West Africa: what has been done and should be done,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=TIC7eWcAAAAJ&pagesize=100&citation_for_view=TIC7eWcAAAAJ:8k81kl-MbHgC,"(1) B Alves, DB Angnuureng, P Morand, R Almar",2020
Households’ willingness to adopt greywater treatment technologies in a developing country–Exploring a modified theory of planned behaviour (TPB) model including personal norm,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4QxSy3cAAAAJ&pagesize=100&citation_for_view=4QxSy3cAAAAJ:2osOgNQ5qMEC,"(1) M Oteng-Peprah, N De Vries, MA Acheampong",2020
Digitizing distance learning materials: Measuring students’ readiness and intended challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pVfeJPsAAAAJ&pagesize=100&citation_for_view=pVfeJPsAAAAJ:UeHWp8X0CEIC,"(1) E Arthur-Nyarko, DD Agyei, JK Armah",2020
Digitizing distance learning materials: Measuring students’ readiness and intended challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5W6ARJ8AAAAJ&pagesize=100&citation_for_view=5W6ARJ8AAAAJ:_Qo2XoVZTnwC,"(2) E Arthur-Nyarko, DD Agyei, JK Armah",2020
A psychiatric disease-related circular RNA controls synaptic gene expression and cognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=cyNKoTMAAAAJ&pagesize=100&citation_for_view=cyNKoTMAAAAJ:9yKSN-GCB0IC,"(1) AJ Zimmerman, AK Hafez, SK Amoah, BA Rodriguez, M Dell’Orco, ...",2020
"Menstrual characteristics, disorders and associated risk factors among female international students in Zhejiang Province, China: a cross-sectional survey",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pSf93RIAAAAJ&pagesize=100&citation_for_view=pSf93RIAAAAJ:9yKSN-GCB0IC,"(1) E Ansong, SK Arhin, Y Cai, X Xu, X Wu",2019
Integrating Artificial and Human Intelligence: A Partnership for Responsible Innovation in Biomedical Engineering and Medicine,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Fb4M2FoAAAAJ&pagesize=100&citation_for_view=Fb4M2FoAAAAJ:3fE2CSJIrl8C,"(1) K Dzobo, S Adotey, NE Thomford, W Dzobo",2019
Sensitivity assessment and optimal economic evaluation of a new COVID-19 compartmental epidemic model with control interventions,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=qFNHorgAAAAJ&pagesize=100&citation_for_view=qFNHorgAAAAJ:4TOpqqG69KYC,"(2) JKK Asamoah, Z Jin, GQ Sun, B Seidu, E Yankson, A Abidemi, FT Oduro, ...",2021
The Determinant Factors of Business to Business (B2B) E-Commerce Adoption in Small- and Medium-Sized Manufacturing Enterprises,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=wKxG-uAAAAAJ&pagesize=100&citation_for_view=wKxG-uAAAAAJ:0EnyYjriUFMC,"(1) CE Ocloo, H Xuhua, S Akaba, J Shi, DK Worwui-Brown",2020
Managing the COVID-19 crisis: coping and post-recovery strategies for hospitality and tourism businesses in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:4TOpqqG69KYC,"(3) F Dayour, CA Adongo, FE Amuquandoh, I Adam",2020
"Disparate on-site access to water, sanitation, and food storage heighten the risk of COVID-19 spread in Sub-Saharan Africa",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=9rptEvoAAAAJ&pagesize=100&citation_for_view=9rptEvoAAAAJ:Zph67rFs4hoC,"(2) B Ekumah, FA Armah, DO Yawson, R Quansah, FE Nyieku, SA Owusu, ...",2020
Recontextualising gender in entrepreneurial leadership,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:9ZlFYXVOiuMC,"(2) AN Kimbu, A de Jong, I Adam, MA Ribeiro, E Afenyo-Agbe, O Adeola, ...",2021
The ORF8 Protein of SARS-CoV-2 Induced Endoplasmic Reticulum Stress and Mediated Immune Evasion by Antagonizing Production of Interferon Beta,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=A4EqSRwAAAAJ&pagesize=100&citation_for_view=A4EqSRwAAAAJ:KlAtU1dfN6UC,"(1) F Rashid, EE Dzakah, H Wang, S Tang",2021
Deltas in the Anthropocene,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0O_QXMAAAAAJ&pagesize=100&citation_for_view=0O_QXMAAAAAJ:j3f4tGmQtD8C,"(1) RJ Nicholls, WN Adger, CW Hutton, SE Hanson",2020
Implications of environmental sanitation management for sustainable livelihoods in the catchment area of Benya Lagoon in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0tk6suoAAAAJ&pagesize=100&citation_for_view=0tk6suoAAAAJ:IjCSPb-OGe4C,"(2) J Mensah, F Enu-Kwesi",2019
"Mobile phones, gender, and female empowerment in sub-Saharan Africa: Studies with African youth",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=b-6a-YUAAAAJ&pagesize=100&citation_for_view=b-6a-YUAAAAJ:anf4URPfarAC,"(3) G Porter, K Hampshire, A Abane, A Munthali, E Robson, A De Lannoy, ...",2020
SARS-CoV-2 infection and venous thromboembolism after surgery: an international prospective cohort study.,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=83a3zgkAAAAJ&pagesize=100&citation_for_view=83a3zgkAAAAJ:KlAtU1dfN6UC,"(6) C COVIDSurg, C GlobalSurg",2022
Prevalence of anaemia and low intake of dietary nutrients in pregnant women living in rural and urban areas in the Ashanti region of Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0-0ahpwAAAAJ&pagesize=100&citation_for_view=0-0ahpwAAAAJ:qjMakFHDy7sC,"(1) J Ayensu, R Annan, H Lutterodt, A Edusei, LS Peng",2020
Effects of business-to-business e-commerce adoption on competitive advantage of small and medium-sized manufacturing enterprises.,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=wKxG-uAAAAAJ&pagesize=100&citation_for_view=wKxG-uAAAAAJ:YsMSGLbcyi4C,"(1) X Hu, CE Ocloo, S Akaba, D Worwui-Brown",2019
"Exploring the influence of supply chain collaboration on supply chain visibility, stakeholder trust, environmental and financial performances: a partial least square approach",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5picmrwAAAAJ&pagesize=100&citation_for_view=5picmrwAAAAJ:WF5omc3nYNoC,"(2) C Baah, ISK Acquah, D Ofori",2022
"Global burden of chronic respiratory diseases and risk factors, 1990–2019: an update from the Global Burden of Disease Study 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JEpmvgsAAAAJ&pagesize=100&citation_for_view=JEpmvgsAAAAJ:7PzlFSSx8tAC,"(1) S Momtazmanesh, SS Moghaddam, SH Ghamari, EM Rad, N Rezaei, ...",2023
Policy responses to reduce single-use plastic marine pollution in the Caribbean,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:_kc_bZDykSQC,"(1) CA Clayton, TR Walker, JC Bezerra, I Adam",2021
Women’s reproductive health decision-making: A multi-country analysis of demographic and health surveys in sub-Saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ezJviOEAAAAJ&pagesize=100&citation_for_view=ezJviOEAAAAJ:XUvXOeBm_78C,"(2) EKM Darteh, KS Dickson, DT Doku",2019
Blended learning or face-to-face? Does Tutor anxiety prevent the adoption of Learning Management Systems for distance education in Ghana?,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=88EPn7cAAAAJ&pagesize=100&citation_for_view=88EPn7cAAAAJ:WZBGuue-350C,"(1) B Bervell, IN Umar",2020
Advances in Therapeutic Targeting of Cancer Stem Cells within the Tumor Microenvironment: An Updated Review,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Fb4M2FoAAAAJ&pagesize=100&citation_for_view=Fb4M2FoAAAAJ:Wp0gIr-vW9MC,"(1) K Dzobo, DA Senthebane, C Ganz, NE Thomford, A Wonkam, C Dandara",2020
What Works and What Does Not Work in Response to COVID-19 Prevention and Control in Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=p1hTJa0AAAAJ&pagesize=100&citation_for_view=p1hTJa0AAAAJ:4JMBOYKVnBMC,"(1) SN Erigene Rutayisire, Gerard Nkundimana, Honore K Mitonga, Alex Boye",2020
Impact of health education intervention on knowledge and perception of cervical cancer and screening for women in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lLiMgqEAAAAJ&pagesize=100&citation_for_view=lLiMgqEAAAAJ:u5HHmVD_uO8C,"(5) NI Ebu, S Amissah-Essel, C Asiedu, S Akaba, KA Pereko",2019
